장르,설명
소설,"허구의 사건과 인물을 통해 이야기를 풀어나가는 문학 작품입니다."
시/에세이,"삶의 다양한 순간과 경험을 시적 언어나 에세이 형태로 표현한 글입니다."
인문,"인간과 사회, 문화에 대한 깊이 있는 탐구와 성찰을 다룬 책입니다."
가정/육아,"가족 생활과 육아에 관한 조언과 지침을 제공하는 도서입니다."
요리,"다양한 요리법과 식재료에 대한 정보를 담은 요리 지침서입니다."
건강,"신체적, 정신적 건강 유지 및 향상에 관한 정보와 방법을 다룬 책입니다."
취미/실용/스포츠,"다양한 취미 활동과 실용적 기술, 스포츠 관련 정보를 제공하는 도서입니다."
경제/경영,"경제 이론, 시장 분석, 경영 전략 등 경제 및 경영 관련 지식을 담은 책입니다."
자기계발,"개인의 성장과 발전을 돕는 방법과 원리를 제시하는 도서입니다."
정치/사회,"정치 체제, 사회 이슈에 대한 분석과 통찰을 담은 책입니다."
역사/문화,"역사적 사건과 문화적 유산을 탐구하고 해석하는 도서입니다."
종교,"다양한 종교와 영적 신념에 대한 해석과 가르침을 다룬 책입니다."
예술/대중문화,"미술, 음악, 영화 등 예술 및 대중문화에 대한 비평과 분석을 제공하는 도서입니다."
중/고등참고서,"중고등학생을 대상으로 한 학습 내용과 시험 준비 자료를 담은 참고서입니다."
기술/공학,"과학 기술 및 공학 분야의 원리와 적용을 다룬 전문적인 도서입니다."
외국어,"외국어 학습자를 위한 언어 교육 및 실습 자료를 제공하는 책입니다."
과학,"자연 과학과 그 현상을 탐구하는 과학적 지식과 발견을 소개하는 도서입니다."
취업/수험서,"취업 준비와 각종 시험 대비를 위한 공부 방법과 자료를 제공하는 책입니다."
여행,"여행지 정보, 경험담, 여행 계획 및 팁을 담은 여행 가이드북입니다."
컴퓨터/IT,"컴퓨터 과학과 정보 기술에 관한 기초 지식부터 심화 내용을 다룬 책입니다."
잡지,"다양한 주제와 최신 트렌드를 정기적으로 다루는 출판물입니다."
청소년,"청소년의 관심사와 문제를 다루며 그들의 성장을 돕는 책입니다."
초등참고서,"초등학생을 대상으로 한 학습 자료와 참고 자료를 제공하는 도서입니다."
유아(0~7세),"유아기 아이들의 정서적, 지적 발달을 지원하는 그림책과 학습서입니다."
어린이(초등),"초등학생을 위한 교육적이고 재미있는 이야기와 정보를 담은 책입니다."
만화,"그림과 함께 이야기가 펼쳐지는 만화책입니다."
대학교재,"대학교 과정에서 사용되는 전공서적과 교육 자료입니다."
